dataset,model,time,LR,batch_size,best_last_RMSE,best_overall_RMSE,score,windowsize,d_model,dropout,kernal_size,kernal_stride,train,total_params,train_average_time,test_average_time,savepath,resume,resumepath,info
37,TwoP_Transformer,20251113-135307,5e-05,32,0.3093920186601889,0.3093920186601889,0.2362542208009269,60,64,0.1,3,1,True,63153,12.500903643094576,1.5499858856201172,./logs/37/TwoP_Transformer/exp3,False,,XJTU baseline n_feature 40 sample 10 s 10
37,TwoP_Transformer,20251113-141057,1e-05,32,0.30209222137569003,0.30209222137569003,0.25170024835906296,60,64,0.1,3,1,True,63153,13.12972179326144,1.4527761936187744,./logs/37/TwoP_Transformer/exp4,False,,XJTU baseline n_feature 40 sample 10 s 10
37,TwoP_Transformer,20251113-143701,1e-06,32,0.22056612260268635,0.22056612260268635,0.3538590919644313,60,64,0.1,3,1,True,63153,13.414712188243866,1.561417579650879,./logs/37/TwoP_Transformer/exp5,False,,XJTU baseline n_feature 40 sample 10 s 10
37,TwoP_Transformer,20251113-144232,5e-05,32,0.3043267109976216,0.3043267109976216,0.2406525193591602,80,64,0.1,3,1,True,75713,13.331259926160177,1.4644081592559814,./logs/37/TwoP_Transformer/exp6,False,,XJTU baseline n_feature 40 sample 10 s 10
37,TwoP_Transformer,20251113-150201,1e-05,32,0.3089831210792446,0.3089831210792446,0.24886641024237033,80,64,0.1,3,1,True,75713,12.901891324971173,1.4358115196228027,./logs/37/TwoP_Transformer/exp7,False,,XJTU baseline n_feature 40 sample 10 s 10
37,TwoP_Transformer,20251113-152550,1e-06,32,0.21676030918496555,0.21676030918496555,0.35187785273548916,80,64,0.1,3,1,True,75713,12.14610520362854,1.4268670082092285,./logs/37/TwoP_Transformer/exp8,False,,XJTU baseline n_feature 40 sample 10 s 10
37,CDSG,20251113-153634,5e-05,32,0.3053512559562691,0.3053512559562691,0.222760736725785,50,64,0.1,3,1,True,441553,16.843342542648315,1.5757694244384766,./logs/37/CDSG/exp0,False,,XJTU baseline n_feature 40 sample 10 s 10
FD001,DA_LSTM,20251113-154844,0.0001,32,12.549407629021465,12.549407629021465,302.7072139099862,40,64,0.1,3,1,True,3550,66.76358156571021,0.061582088470458984,./logs/FD001/DA_LSTM/exp0,False,,DA_LSTM baseline 
37,CDSG,20251113-155109,1e-05,32,0.2978019743039442,0.2978019743039442,0.24205814589183497,50,64,0.1,3,1,True,441553,17.42453444004059,1.468996286392212,./logs/37/CDSG/exp1,False,,XJTU baseline n_feature 40 sample 10 s 10
37,CDSG,20251113-160628,1e-06,32,0.21160727852052608,0.21160727852052608,0.31198869940097546,50,64,0.1,3,1,True,441553,17.190447918204374,1.5110747814178467,./logs/37/CDSG/exp2,False,,XJTU baseline n_feature 40 sample 10 s 10
37,CDSG,20251113-161547,5e-05,32,0.3194576599097029,0.3194576599097029,0.22725509943509417,60,64,0.1,3,1,True,441553,18.492329120635986,1.4908959865570068,./logs/37/CDSG/exp3,False,,XJTU baseline n_feature 40 sample 10 s 10
37,CDSG,20251113-163638,1e-05,32,0.3098340809585294,0.3098340809585294,0.22552934037949368,60,64,0.1,3,1,True,441553,17.902680102041213,1.5393092632293701,./logs/37/CDSG/exp4,False,,XJTU baseline n_feature 40 sample 10 s 10
37,CDSG,20251113-165500,1e-06,32,0.21591842286857135,0.21591842286857135,0.30506059043110934,60,64,0.1,3,1,True,441553,18.297121500968935,1.494518518447876,./logs/37/CDSG/exp5,False,,XJTU baseline n_feature 40 sample 10 s 10
37,CDSG,20251113-170239,5e-05,32,0.30770445013087333,0.30770445013087333,0.22308514538471044,80,64,0.1,3,1,True,441553,20.881511007036483,1.7264673709869385,./logs/37/CDSG/exp6,False,,XJTU baseline n_feature 40 sample 10 s 10
37,CDSG,20251113-172248,1e-05,32,0.31291791030255045,0.31291791030255045,0.21734341163152737,80,64,0.1,3,1,True,441553,21.08642177780469,1.8217639923095703,./logs/37/CDSG/exp7,False,,XJTU baseline n_feature 40 sample 10 s 10
37,CDSG,20251113-173818,1e-06,32,0.20944188935124558,0.20944188935124558,0.3102911652219688,80,64,0.1,3,1,True,441553,21.537362800325667,1.8597419261932373,./logs/37/CDSG/exp8,False,,XJTU baseline n_feature 40 sample 10 s 10
FD001,DA_LSTM,20251113-181445,5e-05,32,12.589598103739888,12.589598103739888,303.4547259811339,40,64,0.1,3,1,True,3550,65.37788960587888,0.051012277603149414,./logs/FD001/DA_LSTM/exp1,False,,DA_LSTM baseline 
40,TwoP_Transformer,20251113-184038,5e-05,32,0.3434954561682229,0.3434954561682229,0.20697829919505392,50,64,0.1,3,1,True,58073,69.33789312271844,1.519578218460083,./logs/40/TwoP_Transformer/exp0,False,,XJTU baseline n_feature 40 sample 10 s 10
FD001,DA_LSTM,20251113-195414,1e-05,32,19.94520799259879,19.94520799259879,3270.720207770418,40,64,0.1,3,1,True,3550,38.353217356999714,0.04115605354309082,./logs/FD001/DA_LSTM/exp2,False,,DA_LSTM baseline 
FD001,DA_LSTM,20251113-202713,1e-06,32,42.36783725400445,42.36783725400445,4857.7123798486855,40,64,0.1,3,1,True,3550,11.983085568745931,0.039943695068359375,./logs/FD001/DA_LSTM/exp3,False,,DA_LSTM baseline 
FD001,DA_LSTM,20251113-203800,0.0001,32,13.833271287898958,13.833271287898958,337.41522012763636,50,64,0.1,3,1,True,3550,11.62517058119482,0.03544974327087402,./logs/FD001/DA_LSTM/exp4,False,,DA_LSTM baseline 
40,TwoP_Transformer,20251113-204116,1e-05,32,0.3271927059495003,0.3271927059495003,0.22444463640161305,50,64,0.1,3,1,True,58073,69.79012698332468,1.5868453979492188,./logs/40/TwoP_Transformer/exp1,False,,XJTU baseline n_feature 40 sample 10 s 10
FD001,DA_LSTM,20251113-210504,5e-05,32,13.5111397004327,13.5111397004327,324.58670529672696,50,64,0.1,3,1,True,3550,12.087899161166833,0.04365134239196777,./logs/FD001/DA_LSTM/exp5,False,,DA_LSTM baseline 
FD001,DA_LSTM,20251113-213751,1e-05,32,18.756667277872793,18.756667277872793,1819.6880966847837,50,64,0.1,3,1,True,3550,11.89442463239034,0.05813121795654297,./logs/FD001/DA_LSTM/exp6,False,,DA_LSTM baseline 
FD001,DA_LSTM,20251113-221014,1e-06,32,45.146435402903734,45.146435402903734,6180.50612815657,50,64,0.1,3,1,True,3550,11.722683674494425,0.05615234375,./logs/FD001/DA_LSTM/exp7,False,,DA_LSTM baseline 
FD001,DA_LSTM,20251113-222501,0.0001,32,12.68905900097951,12.68905900097951,310.9711274834832,60,64,0.1,3,1,True,3550,11.418406479600547,0.0519566535949707,./logs/FD001/DA_LSTM/exp8,False,,DA_LSTM baseline 
FD001,DA_LSTM,20251113-224626,5e-05,32,12.76585847816554,12.76585847816554,311.893766694462,60,64,0.1,3,1,True,3550,11.999314760424427,0.03868222236633301,./logs/FD001/DA_LSTM/exp9,False,,DA_LSTM baseline 
40,TwoP_Transformer,20251113-225057,1e-06,32,0.2979875087498672,0.2979875087498672,0.2537478972628952,50,64,0.1,3,1,True,58073,67.8406463599205,1.6015915870666504,./logs/40/TwoP_Transformer/exp2,False,,XJTU baseline n_feature 40 sample 10 s 10
FD001,DA_LSTM,20251113-231839,1e-05,32,16.904242382274578,16.904242382274578,782.2201116306697,60,64,0.1,3,1,True,3550,11.730918099085489,0.035988807678222656,./logs/FD001/DA_LSTM/exp10,False,,DA_LSTM baseline 
40,TwoP_Transformer,20251113-233758,5e-05,32,0.3089879273621409,0.3089879273621409,0.2543677481531421,60,64,0.1,3,1,True,63153,73.11715137958527,1.7247052192687988,./logs/40/TwoP_Transformer/exp3,False,,XJTU baseline n_feature 40 sample 10 s 10
FD001,DA_LSTM,20251113-235103,1e-06,32,48.47967013996839,48.47967013996839,8994.468705655407,60,64,0.1,3,1,True,3550,11.788604124387104,0.04316115379333496,./logs/FD001/DA_LSTM/exp11,False,,DA_LSTM baseline 
FD002,DA_LSTM,20251114-001644,0.0001,32,12.911155294921796,12.911155294921796,794.8642093778695,40,64,0.1,3,1,True,3550,31.09464945034547,0.08355903625488281,./logs/FD002/DA_LSTM/exp0,False,,DA_LSTM baseline 
FD002,DA_LSTM,20251114-004746,5e-05,32,12.949748304877032,12.949748304877032,784.2914867270372,40,64,0.1,3,1,True,3550,31.41739087284736,0.08285856246948242,./logs/FD002/DA_LSTM/exp1,False,,DA_LSTM baseline 
40,TwoP_Transformer,20251114-013228,1e-05,32,0.2598002408868067,0.2598002408868067,0.3081186278602613,60,64,0.1,3,1,True,63153,73.33056651515726,1.6042890548706055,./logs/40/TwoP_Transformer/exp4,False,,XJTU baseline n_feature 40 sample 10 s 10
FD002,DA_LSTM,20251114-021543,1e-05,32,13.83812711752956,13.83812711752956,949.9549144346508,40,64,0.1,3,1,True,3550,32.066633121172586,0.0822286605834961,./logs/FD002/DA_LSTM/exp2,False,,DA_LSTM baseline 
FD002,DA_LSTM,20251114-034723,1e-06,32,21.96975277929608,21.96975277929608,4057.8868658886804,40,64,0.1,3,1,True,3550,33.508765247662865,0.11100363731384277,./logs/FD002/DA_LSTM/exp3,False,,DA_LSTM baseline 
40,TwoP_Transformer,20251114-034756,1e-06,32,0.30938056960392674,0.30938056960392674,0.2738658253406271,60,64,0.1,3,1,True,63153,71.3636278271675,1.8055419921875,./logs/40/TwoP_Transformer/exp5,False,,XJTU baseline n_feature 40 sample 10 s 10
FD002,DA_LSTM,20251114-042138,0.0001,32,12.061605695497693,12.061605695497693,634.9355779447408,50,64,0.1,3,1,True,3550,30.61696503162384,0.09267067909240723,./logs/FD002/DA_LSTM/exp4,False,,DA_LSTM baseline 
40,TwoP_Transformer,20251114-043010,5e-05,32,0.37256103568082277,0.37256103568082277,0.18493433958420766,80,64,0.1,3,1,True,75713,70.22588279724121,1.6494297981262207,./logs/40/TwoP_Transformer/exp6,False,,XJTU baseline n_feature 40 sample 10 s 10
FD002,DA_LSTM,20251114-050109,5e-05,32,11.895898883726582,11.895898883726582,603.4571106497215,50,64,0.1,3,1,True,3550,29.991136413224986,0.07780623435974121,./logs/FD002/DA_LSTM/exp5,False,,DA_LSTM baseline 
40,TwoP_Transformer,20251114-060039,1e-05,32,0.36407822587604993,0.36407822587604993,0.17615490027347774,80,64,0.1,3,1,True,75713,69.71712851891151,1.6001923084259033,./logs/40/TwoP_Transformer/exp7,False,,XJTU baseline n_feature 40 sample 10 s 10
FD002,DA_LSTM,20251114-062742,1e-05,32,12.270768830605833,12.270768830605833,640.2427808106274,50,64,0.1,3,1,True,3550,31.552436854044597,0.08375859260559082,./logs/FD002/DA_LSTM/exp6,False,,DA_LSTM baseline 
FD002,DA_LSTM,20251114-075431,1e-06,32,22.22561126198158,22.22561126198158,3679.1670584294448,50,64,0.1,3,1,True,3550,31.660181854565938,0.08141016960144043,./logs/FD002/DA_LSTM/exp7,False,,DA_LSTM baseline 
40,TwoP_Transformer,20251114-082239,1e-06,32,0.28955049586370396,0.28955049586370396,0.28607568490205926,80,64,0.1,3,1,True,75713,75.18406649112701,1.7368385791778564,./logs/40/TwoP_Transformer/exp8,False,,XJTU baseline n_feature 40 sample 10 s 10
FD002,DA_LSTM,20251114-084614,0.0001,32,11.542287175645601,11.542287175645601,582.392610779064,60,64,0.1,3,1,True,3550,30.861378135261955,0.09790921211242676,./logs/FD002/DA_LSTM/exp8,False,,DA_LSTM baseline 
